"Keys","Russian"
"Pizza.Geogre.000","Ну что ты, блять, устраиваешь?"
"Pizza.Geogre.001","Вот вечно ты так делаешь!"
"Pizza.Geogre.002","С кем ты говоришь?"
"Pizza.Geogre.003","Только, нахуй, попробуй!"
"Pizza.Geogre.004","Знаешь, что такое «ложный вызов», дура? Ты будешь штраф платить?"
"Pizza.Geogre.005","Господь милосердный! Что ты устраиваешь?"
"Pizza.Geogre.006","Сдурела совсем такое по телефону говорить? Алло! Не слушайте её!"
"Pizza.Geogre.007","«Пиццерия» просит со мной поговорить? Надо же!"
"Pizza.Geogre.008","Охуеть! Вот что ты думаешь обо мне?"
"Pizza.Geogre.009","Марта, пожалуйста... Отдай мне трубку."
"Pizza.Geogre.010","Ага, да, ну разумеется..."
"Pizza.Geogre.011","Ага, да, ну разумеется..."
"Pizza.Geogre.012","Я сейчас!"
"Pizza.Geogre.013","Добрый вечер. Это Джордж, «сожитель» Марты... Я подключился со второго телефона из кабинета."
"Pizza.Geogre.014","Разумеется, пьянь, почти не знаешь... Для начала... Вы не пиццерия, правильно?"
"Pizza.Geogre.015","Ах ты тварь, блять!.."
"Pizza.Geogre.016","То есть реально им позвонила? Блять, Марта, нахуя?"
"Pizza.Geogre.017","Ты тоже, причём неслабо! Почему я тогда не звоню в службы?"
"Pizza.Geogre.018","Просто извинись и повесь трубку!"
"Pizza.Geogre.019","Сука! Ай! Не кусайся, блять!"
"Pizza.Geogre.020","Марта? Марта! О господи! Ромах-роуд, дом шесть, 112 апартаменты! Пришлите скорую, срочно! Господи..."
"Pizza.Geogre.021","Я... Всего лишь оттолкнул её от себя! Она ударилась головой... Что я наделал?.."
"Pizza.Geogre.022","Ага... Понятно... И как же вы называетесь?"
"Pizza.Geogre.023","Окей... И почём пепперони у вас будет с купоном? Средняя."
"Pizza.Geogre.024","Либо в цене путайтесь, либо... Вы всё-таки из экстренной службы."
"Pizza.Geogre.025","Прекрасно! Нам тогда две средние пепперони. Ромах-роуд, 6. Я спущусь за заказом."
"Pizza.Geogre.026","Не, спасибо. Хватит на сегодня напитков. Да, Марта?"
"Pizza.Geogre.027","Ромах-роуд, 6, апартаменты 112."
"Pizza.Geogre.028","Сдача с двадцатки будет? Хотя... Не, курьер заслужил чаевые. "
"Pizza.Geogre.029","Вы тоже. Господи, неужели в Мидлайне такая беда с работой? "
"Pizza.Geogre.030","Вы по голосу молодая... Что вами движет вот так сидеть и выслушивать чужие ссоры во время заказа пиццы?"
"Pizza.Geogre.031","Проспорили что ли?"
"Pizza.Geogre.032","Чтобы продавать пиццу по телефону?.. Девушка, у вас определённо что-то не так с жизненными приоритетами."
"Pizza.Geogre.033","Секунду! Чёрт, а быстро вы..."
"Pizza.Geogre.034","Ясно... Без пепперони, значит. М-да."
"Pizza.Geogre.035","Ага, поверил. Лучше не удалось придумать? "
"Pizza.Geogre.036","Судя по короткому номеру, что набрала Марта, я говорю с экстренной службой."
"Pizza.Geogre.037","Мне даже неловко... "
"Pizza.Geogre.038","Слушайте, я не только прекращу этот цирк. Я пожаловаться могу за превышение полномочий. "
"Pizza.Geogre.039","Вы не имеете права врать или вводить в заблуждение."
"Pizza.Geogre.040","Что ж, ожидаемо. Простите за ложный вызов. "
"Pizza.Geogre.041","У нас всё действительно в порядке."
"Pizza.Geogre.042","Это ложь. Наглая."
"Pizza.Geogre.043","Ещё спрашиваете!.. Каждый раз, как выпьем и что-то идёт не так, как хочется Её величеству."
"Pizza.Geogre.044","А куда ты пойдёшь в одиннадцать вечера одна и пьяная, а? Мы живём в сраном гетто!"
"Pizza.Geogre.045","Вы реально не понимаете? Вы не на той стороне конфликта, Елена! Марта перебрала с алкоголем, у неё и так не все дома..."
"Pizza.Geogre.046","То, что у тебя – ебаной сумасшедшей суки! – проблемы! С алкоголем! И с башкой!"
"Pizza.Geogre.047","Мы просто пытались... Отпраздновать по-человечески годовщину впервые за наши отношения... Я правда думал, что она хочет добавить пиццу к ужину..."
"Pizza.Geogre.048","Лжец здесь – она, а не я. Хоть вы поверьте мне..."
"Pizza.Geogre.049","Да! Несколько лет назад! Считайте, что в прошлой жизни! Я машину угнал! Как это сейчас поможет?"
"Pizza.Geogre.050","О нет... О нет-нет-нет!"
"Pizza.Geogre.051","В этом нет необходимости! Блять, я понимаю, как это звучит... Но если бы каждый раз, когда у этой барышни свербит, к нам приезжали копы, вы бы добавили наш номер в чёрный список!"
"Pizza.Geogre.052","Это была очередная попытка меня запугать! Никчёмная попытка, дорогая!"
"Pizza.Geogre.053","Марта?.."
"Pizza.Geogre.054","«Её величеством»! Видите? Полный невменос. Хотя выпили, сколько?.. Три бутылки вина на двоих. Годовщину праздновали."
"Pizza.Geogre.055","Угу. Программа доступного жилья. Теперь её не слить даже за половину стоимости. Отличное вложение денег, да, дорогая?"
"Pizza.Geogre.056","Пошли классические угрозы...  Мы хотим продолжить эту беседу или всё-таки прервёмся? Вы вернётесь к своей работе, а я – может быть! – закончу вечер спокойно..."
"Pizza.Geogre.057","Пожалуйста, Елена... Я не хочу усложнять жизнь никому из нас. Штраф мне, вам, а этой неврастеничке – как обычно, ничего. Давайте уже выбросим это дело из головы."
"Pizza.Geogre.058","Не нужно угрожать, Елена. Я ценю то, что вы... Секундочку."
"Pizza.Geogre.059","Елена! Планы меняются! Ромах-роуд, шесть, 112! Быстрее, вызывайте всех, до кого дотянетесь!"
"Pizza.Geogre.060","Делать вам всем нехуй... Марта, слышишь? А?.. Какого хуя?.."
"Pizza.Geogre.061","Она меня заперла!"
"Pizza.Geogre.062","Ну-ка, удивите меня, оператор экстренной службы по имени Елена, какое «иначе» меня ждёт за то, что я не хочу платить штраф за ложный вызов?"
"Pizza.Geogre.063","Я работаю в сфере телефонии с восемьдесят первого. Скорее всего вы говорите по нашему оборудованию. И знаете что? Нихуя вы не отследите. К тому же, зачем тогда трясти из нас адрес?"
"Pizza.Geogre.064","Я знаю свои права, Елена. Кому вы выпишите штраф? Телефонному номеру? Записи звонка?"
"Pizza.Geogre.065","Извините за беспокойство, Елена. Я повешу трубочку и постараюсь дожить ещё один день без хуйни на свою несчастную голову."
"Pizza.Geogre.066","Блять... Молодец. В такие угрозы поверить несложно. Очень профессионально, Елена. Ромах-роуд, 6, 112ые апартаменты."
"Pizza.Geogre.067","Делать вам всем нехуй... Марта, слышишь? А?.. Какого хуя?.."
"Pizza.Geogre.068","Успокоилась что ли?"
