"Keys","Russian"
"Pizza.Marta.000","Добрый вечер! Меня зовут Марта. Хочу... Заказать у вас пиццу с доставкой."
"Pizza.Marta.001","Ну да!.. Пепперони. Очень острую. И быстрее. Помру скоро... С голоду, разумеется, а не потому что меня забьёт кое-кто."
"Pizza.Marta.002","Да, я определённо в опасности."
"Pizza.Marta.003","Я знаю! Очень сложно ошибиться номером. Не просто так же звоню."
"Pizza.Marta.004","Да, конечно... Ромах-роуд..."
"Pizza.Marta.005","Вы слышите? Он сумасшедший!"
"Pizza.Marta.006","А у тебя, значит, деньги имеются? Ты же так гордишься своей работой!"
"Pizza.Marta.007","Я живу с маньяком! Он собирается!.."
"Pizza.Marta.008","Он собирается убить меня!"
"Pizza.Marta.009","В том, что я очень сильно ошиблась в выборе спутника жизни!"
"Pizza.Marta.010","Нет! Он будет врать вам!.."
"Pizza.Marta.011","Не подходи ко мне, убийца!"
"Pizza.Marta.012","Ты это куда?"
"Pizza.Marta.013","Я его почти не знаю!"
"Pizza.Marta.014","Как-как вы его назвали? Ха! Единственное кольцо, которое  светит Джорджу – на его крошечном члене!"
"Pizza.Marta.015","По вашему, ссора – недостаточный повод для звонка в 911?"
"Pizza.Marta.016","Ты груб, пьян!"
"Pizza.Marta.017","Не трогай меня!"
"Pizza.Marta.018","Проходите, пожалуйста!.. Джордж, выйди оплати заказ!"
"Pizza.Marta.019","Он не выпускает меня из дома!"
"Pizza.Marta.020","Да! Я тут взаперти..."
"Pizza.Marta.021","Что ты сказал?!"
"Pizza.Marta.022","Вы – такая же никчёмная тварь, как мой сидевший муженёк! Сейчас я дам вам повод ускориться!"
"Pizza.Marta.023","Сука..."
"Pizza.Marta.024","Как-как ты меня назвал?"
"Pizza.Marta.025","Пошёл нахуй! Я бы тебе глаза выдавила, сволочь!"
"Pizza.Marta.026","Не смейте!"
"Pizza.Marta.027","Джордж!"
"Pizza.Marta.028","Открывай! Я обработаю раны! Я не хотела!"
"Pizza.Marta.029","Прости, дорогой! Я думала, ты меня убивать идёшь!"
"Pizza.Marta.030","Алло! Дорогой! Я не хотела! Я думала, что..."
"Pizza.Marta.031","Я не хотела!"
"Pizza.Marta.032","Да-да, иголка и нитка... Сейчас найду!"
"Pizza.Marta.033","Ах, ты наш бедный-несчастный, ну заплачь ещё!"
"Pizza.Marta.034","Хорошо, сейчас..."
"Pizza.Marta.035","Готово! Джордж, только не паникуй..."
"Pizza.Marta.036","Почти всё, но кровь ещё идёт!"
"Pizza.Marta.037","Дорогой... Я слышу скорую..."
"Pizza.Marta.038","Я всё принесла! Так, сейчас..."
"Pizza.Marta.039","То есть водкой, да?.."
"Pizza.Marta.040","Так... Готово!"
"Pizza.Marta.041","Мне кажется, или я слышу врачей?"
"Pizza.Marta.042","Как?"
"Pizza.Marta.043","Точно! Считайте, уже нашла!"
"Pizza.Marta.044","Смою только кровь..."
"Pizza.Marta.045","Бегу!"
"Pizza.Marta.046","Дорогой, ради твоего же блага... Я же без тебя не могу..."
"Pizza.Marta.047","Мы через столь многое прошли, и я не хочу, чтобы..."
"Pizza.Marta.048","Он теряет сознание!"
"Pizza.Marta.049","Мне тоже. Тошнит."
"Pizza.Marta.050","Где-то был, ищу."
"Pizza.Marta.051","Мне кажется, или я слышу врачей?"
"Pizza.Marta.052","Каково это, а? Теперь понял, говнюк неблагодарный! Я нашла ключи! Ты тут жди мусоров, а я пошла веселиться! Творить всё то, что мне запрещал мой благоверный!"
"Pizza.Marta.053","Это я «не делайте глупостей»?! Я вас вызвала! Это мне нужна помощь! Три года! С размазнёй и домашним тираном!"
"Pizza.Marta.054","Прощайте, Елена, и прощай, Джордж!"
"Pizza.Marta.055","Я не желаю ни о чём говорить с вами, Елена!"
"Pizza.Marta.056","Вот теперь, когда я заперла этого маньяка, вы готовы и полицию вызвать, и скорую? Может, мне пожар тогда устроить?"
"Pizza.Marta.057","Я всё время думаю о последствиях неких «действий», и в итоге живу взаперти, нихуя не делая! Довольно!"
"Pizza.Marta.058","Да! Мне ещё нет тридцати, я хочу отрываться. Вот вы, небось, кутите все выходные, вон голос какой уставший!.."
"Pizza.Marta.059","Заткнись! Просто молчи, трус! Из-за тебя я в свои молодые годы не тусуюсь с подругами, не выпиваю по пятницам, а сижу дома, оттираю пятна..."
"Pizza.Marta.060","Спасибо!"
"Pizza.Marta.061","Поэтому я хочу сбежать. В закат. Кутить до утра!.. А не вот это вот всё. Ты, например, отрывался на полную. Пока не загремел в тюрьму."
"Pizza.Marta.062","Я ведь тебя дождалась! А ты стал... Тюфяком. Задротом. Трусом!
Ваше слово, Елена, раз полезли советы раздавать, то сейчас самое время. Что нам делать?"
"Pizza.Marta.063","Значит, всё это не зря."
"Pizza.Marta.064","Что думаешь, Джордж?"
"Pizza.Marta.065","...В обход. И на такси. Как мы делали всегда, дорогой."
"Pizza.Marta.066","Давай... Я не хочу тебя потерять."
"Pizza.Marta.067","Не надо! Ушибёшься же! В прошлый раз..."
"Pizza.Marta.068","Джордж!"
"Pizza.Marta.069","Милый... Ну зачем ты так, а?"
"Pizza.Marta.070","Я не думала, что ты решишься... Мы же так и не расплатились за ремонт..."
"Pizza.Marta.071","Елена, я уже слышу полицейских на лестнице. Мы постараемся всё уладить, вы только... Прикройте нас, ладно? Спасибо. И простите за грубости."
