"Keys","Russian"
"Pizza.Button.000","Переспросить"
"Pizza.Button.001","«Вы в опасности?»"
"Pizza.Button.002","Представиться снова"
"Pizza.Button.003","«Опишите ситуацию»"
"Pizza.Button.004","Выяснить адрес"
"Pizza.Button.005","«Опишите ситуацию»"
"Pizza.Button.006","Ложный вызов?"
"Pizza.Button.007","«Что случилось?»"
"Pizza.Button.008","«Передайте трубку»"
"Pizza.Button.009","Соврать"
"Pizza.Button.010","Признаться"
"Pizza.Button.011","Попросить передать телефон"
"Pizza.Button.012","Не вмешиваться"
"Pizza.Button.013","«Берони-пицца»"
"Pizza.Button.014","Выдумать название"
"Pizza.Button.015","7.95"
"Pizza.Button.016","5.95"
"Pizza.Button.017","9.95"
"Pizza.Button.018","«Долг»"
"Pizza.Button.019","«Желание»"
"Pizza.Button.020","Продолжать врать"
"Pizza.Button.021","Признаться"
"Pizza.Button.022","Уточнить у Марты"
"Pizza.Button.023","«Уже были ложные звонки?»"
"Pizza.Button.024","Потребовать освобождения"
"Pizza.Button.025","«Я знаю, где вы»"
"Pizza.Button.026","Поверить"
"Pizza.Button.027","Не поверить"
"Pizza.Button.028","«Сидевший»?"
"Pizza.Button.029","«Повод»?"
"Pizza.Button.030","Пригрозить"
"Pizza.Button.031","Окликнуть Марту"
"Pizza.Button.032","Спросить адрес"
"Pizza.Button.033","Настоять"
"Pizza.Button.034","Уступить"
"Pizza.Button.035","Отслеживание звонка"
"Pizza.Button.036","Ещё больший штраф"
"Pizza.Button.037","Джордж и Марта, Ромах-роуд"
"Pizza.Button.038","Что вы сделали?"
"Pizza.Button.039","Попросить проверить"
"Pizza.Button.040","Остаться у себя"
"Pizza.Button.041","Попросить проверить"
"Pizza.Button.042","Открыть дверь"
"Pizza.Button.043","Проверить рану"
"Pizza.Button.044","Обратиться за помощью к Марте"
"Pizza.Button.045","Ожидать скорую"
"Pizza.Button.046","Прижечь рану"
"Pizza.Button.047","Забинтовать рану"
"Pizza.Button.048","Зашить рану"
"Pizza.Button.049","Спросить статью"
"Pizza.Button.050","Предложить помощь"
"Pizza.Button.051","Объяснить."
"Pizza.Button.052","Резко сменить тему."
"Pizza.Button.053","Да."
"Pizza.Button.054","Нет."
"Pizza.Button.055","Дослушать и спросить адрес."
"Pizza.Button.056","Окликнуть Марту."
"Pizza.Button.057","Пообещать заступиться."
"Pizza.Button.058","Успокоить."
"Pizza.Button.059","Успокоить Марту"
"Pizza.Button.060","Поговорить втроём"
"Pizza.Button.061","Выбить дверь"
"Pizza.Button.062","Пригрозить законом"
"Pizza.Button.063","Выделить проблему"
"Pizza.Button.064","Вступиться за Марту"
"Pizza.Button.065","Промолчать"
"Pizza.Button.066","Разойтись"
"Pizza.Button.067","Сбежать вместе"
"Pizza.Button.068","Беречь мир"
