"Keys","Russian"
"OldPizza.Elena.000","911, оператор cлужбы спасения Елена. Чем могу помочь?"
"OldPizza.Elena.001","Вы позвонили в службу 911..."
"OldPizza.Elena.002","Вы ошиблись номером. Это служба 911."
"OldPizza.Elena.003","Это такой телефонный розыгрыш? Вы занимаете линию."
"OldPizza.Elena.004","Мэм, мы не доставляем пиццу. Если вам не угрожает опасность..."
"OldPizza.Elena.005","Мэм... Скажите “пепперони”, если вы в опасности."
"OldPizza.Elena.006","Вашей жизни что-то угрожает?"
"OldPizza.Elena.007","Вы в опасности?"
"OldPizza.Elena.008","Сколько вас?"
"OldPizza.Elena.009","Насколько опасна ситуация?"
"OldPizza.Elena.010","Назовите адрес."
"OldPizza.Elena.011","Мне нужен точный адрес. Номер дома, квартиры?"
"OldPizza.Elena.012","Ещё как “доставляем”. Что или кто вам угрожает?"
"OldPizza.Elena.013","Назовите вслух ваш “заказ”."
"OldPizza.Elena.014","К дому выслана полиция. Ожидайте."
"OldPizza.Elena.015","Без сирены. Поняла."
"OldPizza.Elena.016","Мне нужно знать, в какой квартире вы находитесь."
"OldPizza.Elena.017","Значит, без номера квартиры. Выиграйте время и ждите."
"OldPizza.Elena.018","Я должна оставаться на связи. Минута."
"OldPizza.Elena.019","Назовите номер квартиры."
"OldPizza.Elena.020","Ромах-роуд, 17, 112. Поняла. Информация передана полиции."
"OldPizza.Elena.021","Ожидайте. “Курьеры” будут в течение пары минут."
"OldPizza.Elena.022","Всего доброго."
"OldPizza.Elena.023","Не имею права вешать трубку. Мы ждём... “курьеров”. Ещё чуть-чуть..."
"OldPizza.Elena.024","Опишите человека, который вам угрожает. Я передам описание полиции."
"OldPizza.Elena.025","Это 911. Сэр, вам следует"
"OldPizza.Elena.026","Здравствуйте! К двум пепперони попить чего-нибудь возьмёте?"
"OldPizza.Elena.027","Хорошо! Двадцать-восемьдесят пять c вас."
"OldPizza.Elena.028","Найдётся! Передайте девушке, что курьер будет в течение минуты. Ожидайте ваш заказ!"
"OldPizza.Elena.029","911"
"OldPizza.Elena.030","”Хэндклиффс и компания”"
"OldPizza.Elena.031","“Пицца в срок!”"
"OldPizza.Elena.032","Девять простых, натуральных ингридиентов. Один звонок. Один сытный ужин."
"OldPizza.Elena.033","”Курьеры” ожидают вас внизу."
"OldPizza.Elena.034","Справедливость."
"OldPizza.Elena.035","Вы можете посмотреть в окно, что там происходит?"
"OldPizza.Elena.036","Что там, мэм?"
"OldPizza.Elena.037","Отойдите от окна. Не смотрите."
"OldPizza.Elena.038","Продолжайте наблюдать."
"OldPizza.Elena.039","Продолжайте говорить про пиццу. Не давайте человеку засомневаться."
"OldPizza.Elena.040","Скажите, что пиво."
"OldPizza.Elena.041","Скажите, что газировка."
"OldPizza.Elena.042","Скажите, что кофе."
"OldPizza.Elena.043","Отлично. Теперь предложите поднять заказ."
"OldPizza.Elena.044","Это Барбара! Оператор пиццерии..."
"OldPizza.Elena.045","Елена, оператор службы спасения."
"OldPizza.Elena.046","На самом деле, это 911... Зовут меня Елена. Мы уже в пути."
"OldPizza.Elena.047","«Хэндклиффс и компания»"
"OldPizza.Elena.048","«Пицца в срок!»"
"OldPizza.Elena.049","А то!"
"OldPizza.Elena.050","Вы не видели нашу вывеску с наручниками? Полицейские сирены на мопеде курьера?"
"OldPizza.Elena.051","Мне нужен номер ваших аппартаментов."
"OldPizza.Elena.052","Отлично! В течение минуты приедут “курьеры”. Лучше откройте им дверь сразу."
"OldPizza.Elena.053","Всего доброго!"
"OldPizza.Elena.054","Пожалуйста, не вешайте трубку!"
"OldPizza.Elena.055","Пожалуйста, оцените мою работу, как оператора пиццерии."
"OldPizza.Elena.056","Мы должны убедиться, что заказ прибыл вовремя, пицца - горячая, а напитки - холодные."
"OldPizza.Elena.057","Без проблем!"
"OldPizza.Elena.058","Всего доброго и приятного аппетита."
"OldPizza.Elena.059","Могу предположить, что вы урожаете девушке, с которой я говорила..."
"OldPizza.Elena.060","Ваша подруга, она хотела вызвать скорую для..."
"OldPizza.Elena.061","Сэр, не делайте глупостей."
"OldPizza.Elena.062","Джордж... Не делай глупостей."
"OldPizza.Elena.063","Усугубив ситуацию, вы сделайте хуже только себе."
"OldPizza.Elena.064","Единственное, что ты можешь сейчас сделать правильно - это дождаться полиции смиренно и тихо."
"OldPizza.Elena.065","В ином случае... Тебе не сдобровать. Я знаю, как действует полиция. Будешь пиццу из блендера жрать. Или - что более вероятно - только тюремную кашу."
"OldPizza.Elena.066","Необдуманные действия приведут лишь к увеличению срока, вы понимаете?"
"OldPizza.Elena.067","Алло?"
"OldPizza.Elena.068","Поверь."
"OldPizza.Elena.069","Или ты хочешь проверить?"
"OldPizza.Elena.070","Тогда сиди смирно, пока не придет полиция. Тронешь  девушку - тебя тронут сильнее."
"OldPizza.Elena.071","Приятного вечера."
"OldPizza.Elena.072","Какой ваш заказ?"
"OldPizza.Elena.073","Пицца на одного человека?"
"OldPizza.Elena.074","Насколько острая пицца?"
"OldPizza.Elena.075","Поняла вас."
"OldPizza.Elena.076","Горячий кофе прямо из офиса! То есть ресторана... Заработалась, простите."
"OldPizza.Elena.077","Пиво?"
"OldPizza.Elena.078","Освежающая содовая, прямо из холодильника!"
"OldPizza.Elena.079","К вам ворвались в дом?"
"OldPizza.Elena.080","Ваш отец?"
"OldPizza.Elena.081","Ваш муж? Парень?"
"OldPizza.Elena.082","А теперь - адрес, куда выслать наряд."
"OldPizza.Elena.083","Согласитесь с ним. Пусть спустится сам."
"OldPizza.Elena.084","Мэм, это опасно. Офицеры должны сами подняться."
