"Keys","Russian"
"OldPizza.Button.000","Снова представиться"
"OldPizza.Button.001","Задать прямой вопрос"
"OldPizza.Button.002","Подыграть"
"OldPizza.Button.003","Задать прямой вопрос"
"OldPizza.Button.004","Телефонный розыгрыш?"
"OldPizza.Button.005","Ошиблись номером?"
"OldPizza.Button.006","Сбросить звонок"
"OldPizza.Button.007","Пусть даст сигнал"
"OldPizza.Button.008","Уточнить количество людей"
"OldPizza.Button.009","Степень угрозы"
"OldPizza.Button.010","Спросить адрес"
"OldPizza.Button.011","Степень угрозы"
"OldPizza.Button.012","Уточнить адрес"
"OldPizza.Button.013","Пусть выдумает заказ"
"OldPizza.Button.014","Уточнить адрес"
"OldPizza.Button.015","Уточнить номер квартиры"
"OldPizza.Button.016","Говорить про пиццу"
"OldPizza.Button.017","Уступить"
"OldPizza.Button.018","Настоять"
"OldPizza.Button.019","Опознать"
"OldPizza.Button.020","Повесить трубку"
"OldPizza.Button.021","Дождаться полиции"
"OldPizza.Button.022","Попращаться и повесить трубку"
"OldPizza.Button.023","Дождаться полиции"
"OldPizza.Button.024","Подыграть"
"OldPizza.Button.025","Договориться"
"OldPizza.Button.026","911"
"OldPizza.Button.027","«Пицца в срок!»"
"OldPizza.Button.028","Хэндклиффс и компания"
"OldPizza.Button.029","Справедливость"
"OldPizza.Button.030","Смотрите в окно"
"OldPizza.Button.031","Отвернитесь"
"OldPizza.Button.032","Смотрите дальше"
"OldPizza.Button.033","Пиво"
"OldPizza.Button.034","Газировка"
"OldPizza.Button.035","Кофе"
"OldPizza.Button.036","Пиццерия"
"OldPizza.Button.037","911"
"OldPizza.Button.038","«Хэндклиффс и компания»"
"OldPizza.Button.039","«Пицца в срок!»"
"OldPizza.Button.040","911"
"OldPizza.Button.041","Попрощаться и повесить трубку"
"OldPizza.Button.042","Дождаться полиции"
"OldPizza.Button.044","Оценка оператора"
"OldPizza.Button.043","Оценка доставки"
"OldPizza.Button.045","Признаться"
"OldPizza.Button.046","Солгать"
"OldPizza.Button.047","Сэр..."
"OldPizza.Button.048","Джордж..."
"OldPizza.Button.049","По правилам"
"OldPizza.Button.050","Угрожать"
"OldPizza.Button.051","Сбавить обороты"
"OldPizza.Button.052","Добить"
"OldPizza.Button.053","Уточнить количество людей"
"OldPizza.Button.054","Уточнить «остроту»"
"OldPizza.Button.055","Кофе"
"OldPizza.Button.056","Пиво"
"OldPizza.Button.057","Газировка"
