"Keys","Russian"
"OldPizza.Girl.000","Хочу заказать пиццу."
"OldPizza.Girl.001","Вы напитки доставляете?"
"OldPizza.Girl.002","Да, я знаю. Быстро доставите? С голода помру."
"OldPizza.Girl.003","Мы оставим щедрые чаевые, если уложитесь быстро."
"OldPizza.Girl.004","Я вас поняла. Всего доброго."
"OldPizza.Girl.005","Пепперони была бы очень кстати, да, дорогой?"
"OldPizza.Girl.006","Ага! У вас же есть акция “успеть за тридцать минут или доставят бесплатно”?"
"OldPizza.Girl.007","Отлично! Вы доставляете на Ромах-роуд?"
"OldPizza.Girl.008","Мой парень любит поострее... И чтоб пицца приехала побыстрее, окей?"
"OldPizza.Girl.009","Ромах-роуд, 17... Аппартаменты номер..."
"OldPizza.Girl.010","Они уточняют, чтобы по времени сориентировать, милый! Пятнадцать минут везти будут..."
"OldPizza.Girl.011","Отлично! Наш заказ: две пепперони. Пусть курьер постучит, мы не любим громкие звуки."
"OldPizza.Girl.012","Поняла. Да, будет без сдачи... Номер квартиры..."
"OldPizza.Girl.013","Поняла. Тогда ждём!"
"OldPizza.Girl.014","Вкусно поужинаем."
"OldPizza.Girl.015","Качество... Обслуживания, да! Ждут, когда поставят оценку."
"OldPizza.Girl.016","У вас будет сдача со 112 долларов?"
"OldPizza.Girl.017","Ждём-ждём-ждём!"
"OldPizza.Girl.018","Спасибо, до свидания!"
"OldPizza.Girl.019","Хорошо!"
"OldPizza.Girl.020","К вам спустится блондин... В бомбере."
"OldPizza.Girl.021","Я так, нахуй, и знал! Блядота какая, а!"
"OldPizza.Girl.022","Он ушёл... Боже мой. Что будет дальше?"
"OldPizza.Girl.023","Эм. Ладно."
"OldPizza.Girl.024","Я через окно вижу, как... Ох."
"OldPizza.Girl.025","Полицейская машина. Офицеры подходят к Джорджу..."
"OldPizza.Girl.026","Джордж орёт на них... Он достал нож."
"OldPizza.Girl.027","Вы уверены? Хорошо..."
"OldPizza.Girl.028","Окей."
"OldPizza.Girl.029","Полицейские достали оружие!"
"OldPizza.Girl.030","О боже! Джордж!"
"OldPizza.Girl.031","Спрашивают: что будем пить?"
"OldPizza.Girl.032","Пивка ещё возьмем, а?"
"OldPizza.Girl.033","Они могут сами заказ поднять."
"OldPizza.Girl.034","Пятый этаж. Номер 112."
"OldPizza.Girl.035","Колы возьмём? У вас же есть найт-кола?"
"OldPizza.Girl.036","Точно? Дорогой, у них есть кофе..."
"OldPizza.Girl.037","Проходите, пожалуйста... Спасибо, спасибо..."
"OldPizza.Girl.038","Пожалуйста, перестань..."
"OldPizza.Girl.039","А что посоветуете?"
"OldPizza.Girl.040","Нет. Для меня и моего парня."
"OldPizza.Girl.041","Мой парень любит поострее."
"OldPizza.Girl.042","Наш адрес: Ромах-роуд... 17. Напитки какие доставляете?"
"OldPizza.Girl.043","Есть кофе..."
